Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
1989 Memorandum of Agreement Between the Department of the Army and the Environmental Protection Agency Concerning the Determination of the Section 404 Program and the Application of the Exemptions Under Section 404(f) of the Clean Water Act,1989-01-19,2020-02-28,OW-OWOW-7,permitting ,Joint EPA-Corps MOA that allocates responsibilities between EPA and the Corps for determining the geographic scope of the Section 404 program and the applicability of exemptions from regulation under Section 404(f). ,https://nepis.epa.gov/Exe/ZyNET.exe/200053C8.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000003%5C200053C8.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1
Implementing AWOPs Through the Capacity Development and DWSRF Programs,2003-06-01,2020-02-28,OW-OGWDW-1277,DWSRF,DWSRF; AWOP; capacity development  ,https://nepis.epa.gov/Exe/ZyNET.exe/2000GYER.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000009%5C2000GYER.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
A System's Guide to the Management of Radioactive Residuals from Dinking Water Treatment Technologies,2006-08-01,2020-02-28,OW-OGWDW-74,Drinking Water,"This document is designed to help systems
address radionuclide residual disposal by outlining options available to help systems address elevated radionuclide
levels.",https://nepis.epa.gov/Exe/ZyNET.exe/2000ZZAW.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000000%5C2000ZZAW.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Dredged Material Ocean Dumping Reference Document,1992-09-01,2020-02-28,OW-OWOW-2874,MPRSA,This document provides an annotated bibliography of essential and secondary policy and technical documents relating to dredged material disposal. ,https://nepis.epa.gov/Exe/ZyNET.exe/20013BFU.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1991+Thru+1994&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C91thru94%5CTxt%5C00000017%5C20013BFU.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
"Drinking Water Security for Small Systems Serving 3,300 or Fewer Persons",2005-06-29,2020-02-28,OW-OGWDW-644,Preparedness,"Presents basic information and steps to improve security and emergency preparedness at small water systems. Explains why security improvements are important and discusses Vulnerability Assessments and Emergency Response Plans.  
",https://nepis.epa.gov/Exe/ZyNET.exe/20017JWD.txt?ZyActionD=ZyDocument&Client=EPA&Index=2000%20Thru%202005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C00THRU05%5CTXT%5C00000011%5C20017JWD.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=5# 
Overview of EPA Authorities for Natural Resource Managers Developing Aquatic Invasive Species Rapid Response and Management Plans ,2005-12-01,2020-02-28,OW-OWOW-1787,Aquatic Invasive Species,Overview of EPA Authorities for Natural Resource Managers Developing Aquatic Invasive Species Rapid Response and Management Plans ,https://nepis.epa.gov/Exe/ZyNET.exe/20017LOP.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000011%5C20017LOP.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Control Of Slug Loadings To POTWs Guidance Manual,1991-02-01,2020-02-28,OW-OWM-460,Pretreatment,"Guidance on measures to prevent slug loadings from indirect users of sewer systems from impairing treatment by POTWs.
- Supersedes 9/1988 version.",https://nepis.epa.gov/Exe/ZyNET.exe/30004KS2.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1991+Thru+1994&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C91thru94%5CTxt%5C00000005%5C30004KS2.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#
Expedited Approval of Test Procedures for the Analysis of Contaminants Under the Safe Drinking Water Act; Analysis and Sampling Procedures  ,2005-06-29,2020-02-28,OW-OGWDW-783,Drinking Water ,This document provides an overview of the federal register notice announcing the Expedite Approval of Test Procedures for the Analysis of Contaminants under the SDWA.,https://nepis.epa.gov/Exe/ZyNET.exe/60000BL4.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000000%5C60000BL4.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Expedited Approval of Test Procedures for the Analysis of Contaminants Under the Safe Drinking Water Act; Analysis and Sampling Procedures  ,2007-04-10,2020-02-28,OW-OGWDW-782,Drinking Water,Federal Register for the Expedited Approval of Test Procedures for the Analysis of Contaminants Under the SDWA,https://nepis.epa.gov/Exe/ZyNET.exe/60000BL6.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000000%5C60000BL6.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Ground Water Rule Source Water Monitoring Methods Guidance,2008-03-01,2020-02-28,OW-OGWDW-957,Drinking Water ,This manual provides guidance on the GWR source water monitoring methods.,https://nepis.epa.gov/Exe/ZyNET.exe/60000M04.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000001%5C60000M04.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Lead and Copper Rule: A Quick Reference Guide,2008-06-01,2020-02-28,OW-OGWDW-1431,Drinking Water,Lead and Copper Quick Rule: Reference Guide,https://nepis.epa.gov/Exe/ZyNET.exe/60001N8P.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000015%5C60001N8P.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Lead and Copper Rule Public Education & Consumer Notification Requirements for Non-Transient Non-Community Water Systems,2008-06-01,2020-02-28,OW-OGWDW-1433,Drinking Water ,Lead and Copper Rule Public Education & Consumer Notification Requirements for Non-Transient Non-Community Water Systems,https://nepis.epa.gov/Exe/ZyNET.exe/60001N8R.txt?ZyActionD=ZyDocument&Client=EPA&Index=2016%20Thru%202020%7C1991%20Thru%201994%7C2011%20Thru%202015%7C1986%20Thru%201990%7C2006%20Thru%202010%7C1981%20Thru%201985%7C2000%20Thru%202005%7C1976%20Thru%201980%7C1995%20Thru%201999%7CPrior%20to%201976%7CHardcopy%20Publications&Docs=&Query=LEAD%20COPPER%20RULE%20%20PUBLIC%20EDUCATION%20CONSUMER%20NOTIFICATION%20REQUIREMENTS%20NON-TRANSIENT%20NON-COMMUNITY%20WATER%20SYSTEMS&Time=&EndTime=&SearchMethod=2&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C06THRU10%5CTXT%5C00000015%5C60001N8R.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=15&FuzzyDegree=0&ImageQuality=r85g16/r85g16/x150y150g16/i500&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x
Effluent Trading in Watersheds : Policy Statement,1995-01-01,2020-02-28,OW-OWM-680,Water Quality Trading,Use of trading for NPDES WQBEL compliance,https://nepis.epa.gov/Exe/ZyNET.exe/9101ZBPA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1995%20Thru%201999&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C95THRU99%5CTXT%5C00000036%5C9101ZBPA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1
Source Water Assessment Guidance Manual,2008-07-01,2020-02-28,OW-OGWDW-2148,Drinking Water ,The intent of this document is to provide technical information to water systems and states to assist with implementation of the GWR.,https://nepis.epa.gov/Exe/ZyNET.exe/P10016Y1.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000003%5CP10016Y1.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Lead and Copper Rule: Summary of Revisions ,2000-04-01,2020-02-28,OW-OGWDW-1436,Drinking Water,"The intent of this document is to help water system operations, owners, and States understand the new requirements of the LCRMR and when they must begin implementing the requirements.",https://nepis.epa.gov/Exe/ZyNET.exe/P1005884.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000021%5CP1005884.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
"Monitoring Waivers Under the Lead and Copper Rule Minor Revisions for Systems Serving 3,300 or Fewer People ",2000-04-01,2020-02-28,OW-OGWDW-1629,Drinking Water,This document presents information on monitoring waivers.,https://nepis.epa.gov/Exe/ZyNET.exe/P1005EIV.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000022%5CP1005EIV.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Learner's Guide to Security Considerations for Small Drinking Water Systems: Major Security Considerations When Performing a Sanitary Survey of a Small Water System,2003-08-01,2020-02-28,OW-OGWDW-1441,Preparedness,This Guide identifies and explains major applicable security considerations to small drinking water systems. The Guide can be used by state agency personnel in conjunction with a sanitary survey or as a preliminary security review of a small drinking water system. ,https://nepis.epa.gov/Exe/ZyNET.exe/P1008E0S.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000024%5CP1008E0S.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#
Managing Wet Weather with Green Infrastructure - Action Strategy ,2008-01-01,2020-02-28,OW-OWM-1474,Stormwater,"Sets forth ""a collaborative set of actions among the signatory organizations to both the Statement of Intent and the Statement of Support in order to promote the benefits of using green infrastructure in mitigating overflows from combined and separate sewers and reducing runoff, by encouraging the use of green infrastructure as prominent components of combined and separate sewer overflow plans, municipal stormwater programs, and nonpoint source and watershed planning efforts. This action strategy outlines the efforts that the partners feel are important in bringing green infrastructure technologies and approaches into mainstream wet weather management.""",https://nepis.epa.gov/Exe/ZyNET.exe/P1008SI8.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000021%5CP1008SI8.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
"Controlling Fats, Oils, & Grease Discharges from Food Service Establishments",2007-07-01,2020-02-28,OW-OWM-461,Pretreatment,"Describes sewer problems caused by fats, oils, and grease",https://nepis.epa.gov/Exe/ZyNET.exe/P10099TU.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000022%5CP10099TU.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
"Water Quality Standards for Coastal Recreation Waters: Considerations for States as They Select Appropriate Risk Levels (PDF) (3 pp,  204 K) (EPA-823-F-06-012)",2006-08-01,2020-02-28,OW-OST-2689,Water Quality Standards,"Water Quality Standards for Coastal Recreation Waters: Considerations for States as They Select Appropriate Risk Levels (PDF) (3 pp,  204 K) (EPA-823-F-06-012)",https://nepis.epa.gov/Exe/ZyNET.exe/P1009KK4.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000023%5CP1009KK4.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Control and Mitigation of Drinking Water Losses in Distribution Systems,2010-11-01,2020-02-28,OW-OGWDW-454,Drinking Water,Consecutive ground water systems that receive and distribute the ground water supply.,https://nepis.epa.gov/Exe/ZyNET.exe/P1009VCZ.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2006+Thru+2010&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C06thru10%5CTxt%5C00000024%5CP1009VCZ.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL#
